username,userId,entryTitle,entryTitleId,entryId,entry,entryDate
almashan,1362151,17 ekim 2017 monaco beşiktaş maçı,5440587,71441764,umarım tosic her maç banko adam kaçırma kotasını o pozisyonla doldurmuştur.,17.10.2017 22:12
almashan,1362151,beşiktaş'ın galatasaray'dan 8 puan fark yemesi,5472931,71390008,"biz beşiktaşlılar olarak bu eyyamın, şikenin eksik olmadığı amkun liginde matematiksel olarak garantilemeden şampiyonluk hakkında konuşmamamız gerektiğini en acı şekillerde öğrendik. ama siz renkliler şikenin, şaibenin hep merkezinde olduğunuz için bu şekilde rahat konuşabiliyorsunuz herhalde. bir de galatasaray formundayken diğerlerinin esamesi olunmaz geyiklerini yapan andavallar var ki sanki onlar kötü diye biz şampiyon olmuşuz hayallerine kapılıyorlar ya bi siktirin gidin. siz formda olun zaten yoksa şampiyonluğun tadı çıkmıyor olm. beşiktaş türkiyenin tek büyük kulübü olacak bunu zamanla görüp, kabulleneceksiniz merak etmeyin.",15.10.2017 10:15
almashan,1362151,metallica'nın en iyi şarkısı,5472689,71389291,benim için (bkz: mama said),15.10.2017 08:32
almashan,1362151,ankara'nın en çok sevilen yanı,269700,71345090,"çocukluğum, cebeci - demirlibahçe",12.10.2017 23:24
almashan,1362151,star wars episode viii the last jedi,5285854,71288269,fragmanı ile milletin içinde vuhuuuu diye bağırmamak için kendimi tuttuğum efsane,10.10.2017 06:46 ~ 06:49
almashan,1362151,o stadı verdiğimiz paralarla yaptılar,5469589,71288228,adam bizim paramız diyor siz burda ihihihi sıyıncımhırbışkınım geyiği yapıyorsunuz malzeme çıktıya beşiktaşa vuracak amk malları.adam bizim paramız diyor bizim,10.10.2017 06:28 ~ 06:31
almashan,1362151,22 aralık 2016 ışid'in 2 askerimizi şehit etmesi,5258426,71277271,"ulan devlet gibi devlet konsolosluk görevlisi gözaltına alındı diye diplomatik ilişkilerini kesti, orospu çocuğu kansız terörist bir örgüt askerinizi yaktı siz naptınız allahsız kitapsızlar yaktılar lan diri diri yaktılarişte bu kadar değeri var vatan evladının sizin gözünüzde o coğrafyayı toplu yakmanız lazım 1 tane işidli canlı kalmamacasına ama siz sümen altı etmek için uğraştınız daha da bir iktidarın göt yalayıcısı gelip bana vatan millet edebiyatı yapmasın ağır küfür ederim",09.10.2017 17:12
almashan,1362151,9 ekim 2017 rte'nin basın toplantısı iptali,5469245,71273128,(bkz: eyyy amerika sen kimsin ya)diyemedi ya la,09.10.2017 13:15
almashan,1362151,8 ekim 2017 abd'nin vize başvurularını durdurması,5468739,71266229,"iran olmaktan felan bahsedilmiş ama türkiye asla iran olmaz, olamaz, oldurtmazlar. abd türkiyeyi kaybetmeyi asla göze alamaz siz hala tüm oyunun bu ülkede oynandığını farketmediniz galiba. yine başka bir arkadaşın değindiği üzere bunlar hep mizansen olan ve olacak herşeyin sonunda bir şeyden eminim ki abd istediğini alacaktır. benim tahminimce günlük yaşantıyı yani vatandaşı etkileyecek ufak bir finansal kriz ortamıyla akp tabanı önümüzdeki günlerde atılacak adımlara hazırlanıyor. bilirsiniz bu tabanın dini imanı para olduğu için kriz olmasın paralar uçmasın diye herşeye eyvallah çeker dahası bugün sövdüklerinin yarın bayrağını taşır bu taban. ben bir kaç yalandan yaptırım daha bekliyorum mevzu hükümetler arası değil her şey tabana oynamakla alakalı o kadar güzel çözmüşlerki amk bu milleti hepimizden iyi biliyorlar. kafayı yememek elde değil. bakın izleyin önümüzdeki süreç hepimiz için kabir azabı olacak. ilk önce satılık basın yayınla kriz pompalanacak, abd ile ticaretin boyutu yüzümüze vurulacak, yeni zamlar, yeni düzenlemeler bir süre sonra hoop bir bakmışız halkın elinde abd bayrakları ve milyonuncu kez insanoğlunun ne yavan ne çiğ süt emmiş olduğu yüzümüze çarpılacak burada türkiyeden siktir olup gitmek başlıkları coşacak. cia’in en rahat masası türkiye masasıdır eminim hatta stajyerleri felan o bölümde çalıştırıyorlardır. yeni işe başlayanlar türkiye bölümünde işi öğreniyorlardır 1 sene sonra güney amerika 5. sene avrupa 15 sene sonra rusya kısmına geçiliyordur felan.",09.10.2017 01:43
almashan,1362151,sinema tarihinin en iyi dövüş sahnesi,5467768,71242571,söylenenlerin hepsine bakmadım bir açıklama yazsalarmış keşke ama benim için şudur.the raid 2 - kitchen fight,07.10.2017 22:41
